Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),dCu-L1 (A),dCu-L2 (A),Cu-I (A),Cu-N (A),Cu-C (A),Cu-O (A),C-I (A),Amide C-N (A),Amide C-O (A),N-Cu-I (°),Cu-I-C (°),I-C-N (°),C-N-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (C),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (C),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (N),Atomic Population (C),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-C),Bond Order (C-I),Bond Order (Cu-N),Bond Order (C-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(p),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(s),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(s),Orbital Charge Amide O(p),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
VUNPAV,42.91,-12.23,167.34,3.39,8.88,8.99,38.4,26.6,14.9,685.07,-2.8581,-1.1944,1.9,1.94,0.98,0.09,2.55,2.77,2.02,2.23,3.88,1.31,1.25,127.88,27.85,110.18,46.43,77.63,168.77,112.52,125.71,-0.4385,0.2101,-0.2559,-0.2079,-0.325,-0.3659,-0.4519,0.0684,3.0159,3.002,2.8295,3.9492,3.7001,4.2279,2.0159,29.4223,7.1559,5.1396,25.8028,5.8652,5.6114,5.8104,8.4755,0.6552,0.3264,-0.1692,0,0.459,0.7506,0.3082,0.2813,1.7102,1.4031,2.7827,2.8761,0.7628,1.007,1.1062,2.9591,3.5584,1.1261,1.2352,1.1971,3.6858,3.7828,3.8072,3.8503,10.0732,2.0161,2.0191,2.012,2.0143,2.0117,6.328,12.7017,4.1841,4.2276,4.2901,10.4083,2.1921,2.0477,2.0268,2.1528,1.989,0.9381,0.9008,0.9779,0.6998,0.0883,0.1469,0.1606,0.8432,1.0474,0.9899,0.68,0.1497,0.1839,0.0862,0.161,2.7223,2.6825,0.9184,0.9249,0.8392,3.3648,4.4928,1.4712,1.5703,1.4512,-365.19,-9.2
JEVPOP,90.07,2.15,205.15,2.18,7.64,9.52,38,31.4,19.4,689.76,-5.6903,-4.122,1.78,1.9,0.04,-0.02,2.44,1.84,3.34,2.66,2.73,1.37,1.22,91.53,80.23,77,110.76,104.29,125.86,109.49,121.74,-0.1754,0.1402,-0.0329,0.5728,0.0281,0.0972,-0.4384,0.1174,3.192,3.1241,3.8086,1.9903,1.9978,4.0795,2.1042,29.0008,7.0498,5.7087,24.9522,8.4438,8.4537,5.7666,8.3655,0.8174,0,0.4549,0.6605,0.3487,0.8995,0.692,0,1.9389,1.0228,2.7908,2.7183,1.1234,0.9217,0.6733,2.9958,3.6037,1.1652,1.2421,1.1964,3.6289,3.817,3.4493,3.4179,10.101,2.0149,2.0084,2.0346,2.0169,2.0262,6.3529,12.6345,4.105,4.2827,4.2467,10.1872,2.1348,2.0936,1.813,2.0956,2.0502,1.6304,1.5526,1.3366,0.0787,0.0133,0.027,0.0094,1.6062,1.4823,1.3724,0.0779,0.0037,0.017,0.0264,0.0084,2.735,2.662,0.9184,0.922,0.8215,3.3836,4.4251,1.526,1.5115,1.3876,-336.34,9.3
SPGLUC01,89.19,0.07,195.3,1.85,6.7,9.39,34.2,22.7,14.9,633.32,-3.7741,-0.7954,1.89,1.92,0.12,-0.02,2.46,2.19,1.95,3.8,3.44,1.33,1.24,119.54,33.81,93.33,56.36,133.92,103.51,111.32,128.14,-0.5417,0.2362,-0.1299,-0.1836,-0.1052,-0.0771,-0.4649,0.0012,3.3298,3.0549,2.8839,1.8818,1.8969,4.3634,2.0645,29.2126,7.1562,5.0594,25.7528,8.5635,8.5497,5.8458,8.4659,0.6515,0.2623,-0.2525,0.4378,0.2914,0.6913,0.7533,0,1.9173,1.2797,2.7534,2.7924,0.7744,1.0153,1.0027,2.9529,3.5547,1.1048,1.1597,1.2902,3.6637,3.8077,3.7705,3.8389,10.091,2.0173,2.0159,2.0208,2.0173,2.0195,6.3203,12.7189,4.2143,4.2716,4.233,10.5019,2.2017,2.1437,1.9544,2.0661,2.136,1.6555,1.5779,1.4205,0.0741,0.0139,0.0249,0.0086,1.6619,1.5995,1.3635,0.0728,0.0061,0.0164,0.0236,0.0085,2.736,2.6876,0.9614,0.952,0.7742,3.4084,4.5203,1.6379,1.4717,1.4107,-315.57,13.3
XALKUQ,73.71,-5.67,187.84,2.63,11.25,7.97,38.9,28.9,18.6,835.57,-3.8833,-0.8298,1.96,1.87,0.09,0.28,2.55,2.77,2,2.36,3.59,1.32,1.25,133.67,32.84,125.42,46.12,81.23,164.43,111.68,125.27,-0.4285,0.1724,-0.1787,-0.2348,-0.3064,-0.095,-0.4563,0.0751,3.1862,2.8925,3.0442,3.5029,1.8694,4.3396,2.0476,29.2756,7.2403,5.1779,25.7721,5.5283,8.5429,5.8613,8.4198,0.5458,0.4312,-0.1792,0,0.4139,0.545,0.7096,0.1853,1.8316,1.2943,2.7592,2.8109,0.9874,0.8428,0.9807,2.9802,3.586,1.137,1.1792,1.2698,3.6894,3.7732,3.8612,3.8357,10.0678,2.0108,2.0195,2.008,2.0184,2.0111,6.3514,12.65,4.2866,4.1426,4.2208,10.4266,2.1404,1.9036,2.1031,2.1331,2.1465,0.8341,0.9683,1.0443,0.6054,0.1265,0.0742,0.1684,1.521,1.6649,1.445,0.0692,0.01,0.0247,0.0097,0.0155,2.7292,2.6794,0.9497,0.9772,0.7525,3.3782,4.4743,1.4576,1.6009,1.4158,-390.27,14.2
AGISAN,92.07,-4.64,235.01,3.23,10.7,6.75,45.8,36.2,23,770.74,-5.3542,-2.5316,1.99,2.2,-0.17,0.14,2.59,2.02,3.12,3.09,2.51,1.36,1.23,88.39,75.53,90.6,100.9,112.71,120.28,108.44,125.07,-0.452,0.1583,-0.1378,0.2495,0.2492,0.0725,-0.4426,0.0394,2.1377,3.0314,3.8447,3.163,3.1159,4.0832,2.0119,28.9826,7.1382,5.7429,25.3359,7.1563,7.4158,5.745,8.4704,0.4574,0,0.5676,0.4768,0.387,0.4596,0.3067,0,1.783,1.1484,2.7816,2.7691,1.0094,0.9756,0.7841,2.9966,3.5937,1.1471,1.2574,1.1892,3.6499,3.6685,3.666,3.6336,10.1188,2.0261,2.0305,2.0317,2.0151,2.0154,6.3093,12.5654,4.1738,4.1732,4.2183,10.5772,2.127,2.1396,2.113,2.1091,2.0885,1.1018,1.3009,1.1301,0.2472,0.0526,0.0526,0.052,1.3323,1.2496,1.2048,0.1533,0.0323,0.0267,0.0422,0.0206,2.739,2.6665,0.9643,0.9753,0.7269,3.3926,4.4959,1.4843,1.6408,1.3708,-439.82,15
DOMZIQ,94.38,0.24,211.5,3.99,8.2,7.86,42.6,38,25.6,767.16,-5.0851,-1.3475,2.1,2.08,0.18,-0.31,2.55,3.13,3.25,1.95,2.34,1.3,1.26,64.01,83.11,90.26,75.48,63.2,167.71,111.34,128.29,-0.4524,0.1669,-0.2394,0.459,0.098,0.1542,-0.4356,0.0864,1.8887,3.0419,3.6613,1.9706,1.9751,3.99,1.9844,28.8805,7.1903,5.606,25.2158,8.4989,8.4523,5.6702,8.5378,0.5766,0,0.6282,0,0.4101,0.3278,0.2902,0.4742,1.3838,1.469,2.7791,2.8078,0.8891,0.847,1.0717,2.9977,3.5905,1.2435,1.1911,1.1559,3.5875,3.4245,3.7125,3.6371,10.1587,2.0295,2.0347,2.0253,2.0368,2.0324,6.3064,12.5395,4.1557,4.1885,4.1953,10.6063,2.0814,2.1428,2.1496,2.1092,2.1232,1.4626,1.603,1.4155,0.0734,0.0218,0.0158,0.0098,1.5082,1.4331,1.4815,0.077,0.0254,0.0058,0.0161,0.0115,2.7234,2.6751,0.7591,0.9741,0.9419,3.3339,4.4975,1.4703,1.541,1.4862,-378.12,15.2
FAFRIN,79.67,-1.37,181.18,2.18,8.03,12.12,35.4,30.5,21.1,773.59,-5.1465,-2.3675,2.11,1.97,-0.24,0.21,2.51,2.05,3.22,2.31,2.58,1.34,1.24,90.71,78.24,88.31,102.74,91.21,140.84,107.94,121.89,-0.467,0.1613,-0.1091,0.2706,0.2209,0.2286,-0.4446,0.0943,1.9576,2.8791,3.7357,2.1168,2.1639,4.1091,1.9615,28.9054,7.17,5.6804,25.3552,8.3165,8.3053,5.7974,8.4303,0.5225,0,0.4917,0.3639,0.379,0.264,0.4255,0.1524,1.6967,1.1652,2.786,2.7599,1.0537,0.8858,0.8204,3.0036,3.5863,1.2707,1.1627,1.1528,3.6253,3.7531,3.6083,3.6109,10.1169,2.0207,2.0181,2.038,2.0133,2.0269,6.3368,12.5147,4.1113,4.2278,4.1755,10.6152,2.109,2.0712,2.165,2.1128,2.1573,1.3717,1.5502,1.4342,0.0766,0.0206,0.0195,0.0104,1.3657,1.5995,1.3896,0.0843,0.0074,0.0283,0.0158,0.0128,2.733,2.6629,0.9106,0.8627,0.8895,3.3782,4.4541,1.5677,1.4506,1.4357,-428.82,17.9
WOQGUH,82.18,2.69,216.83,1.7,9.04,12.04,37.4,32.9,23,852.69,-5.1835,-2.4645,2.04,2.05,-0.3,0.35,2.54,3.14,3.25,1.91,2.34,1.3,1.27,63.4,83.45,89.03,75.2,62.4,169.25,111.25,128.2,-0.4114,0.1621,-0.2388,0.4679,0.1849,0.034,-0.4323,0.0806,2.0209,3.0107,3.7214,2.0918,1.8896,4.0039,2.0389,28.8477,7.2103,5.6584,25.1817,8.3682,8.3775,5.6864,8.5029,0.571,0,0.6498,0,0.3855,0.3182,0.3218,0.5388,1.39,1.4796,2.7802,2.8091,1.0127,0.8842,0.9122,3.0011,3.5927,1.1999,1.1764,1.2164,3.5967,3.6804,3.6736,3.4008,10.1599,2.0216,2.0338,2.0377,2.0392,2.0275,6.3191,12.5535,4.2375,4.1197,4.1962,10.5386,2.114,2.1246,2.0743,2.1549,2.0709,1.3918,1.5839,1.4151,0.0761,0.022,0.0168,0.0104,1.588,1.5881,1.2373,0.108,0.0043,0.0236,0.0313,0.0138,2.7231,2.6769,0.968,0.7818,0.9271,3.3304,4.5056,1.5702,1.4778,1.4575,-377.98,18.1
QAJNEW,88.47,1.51,224.65,1.79,6.9,7.29,35.9,26.1,14.8,591.85,-6.2016,-4.5254,1.94,1.9,-0.12,-0.1,2.68,2.1,3.17,2.49,2.18,1.44,1.21,75.95,80.77,95.04,106.73,92.08,125.78,105.43,119.45,-0.1361,0.2205,-0.3088,0.8451,0.2255,0.1084,-0.3784,0.1815,2.6643,2.9645,3.7755,3.3514,2.1342,4.1486,2.1228,28.9511,7.0907,5.5544,24.8047,7.054,8.391,5.8052,8.2847,0.4445,0,0.8889,0.4566,0.4612,0.7129,0.5396,0.1079,1.9525,0.9094,2.7839,2.873,1.0802,0.9347,0.8581,3.0416,3.4851,1.1606,1.3044,1.0201,3.5554,3.7214,3.3313,3.3738,10.1492,2.0337,2.0179,2.0429,2.0214,2.0333,6.3299,12.5325,4.1035,4.2105,4.2185,10.2733,2.0844,2.0585,1.9678,2.079,2.0835,1.1428,1.1531,1.2607,0.2437,0.0326,0.0706,0.0327,1.499,1.5627,1.4069,0.0758,0.0044,0.0154,0.0255,0.0091,2.7471,2.6256,0.901,1.0053,0.7194,3.3724,4.3695,1.527,1.5518,1.2907,-541.8,19
FEFXUM,81.97,-26.53,180,2.33,7.85,8.53,35.9,25,14,623.62,-5.1907,-3.7027,2.05,2.29,-0.2,1.46,2.5,3.21,3.31,1.97,2.3,1.3,1.27,63.2,87.18,90.99,75.34,62.27,165.14,111.93,127.57,-0.4395,0.1665,-0.2529,0.5892,0.1304,0.0861,-0.4412,0.0753,1.9638,3.0412,3.749,3.0871,3.171,4.0831,1.9607,28.8708,7.2023,5.6779,25.0654,7.046,7.4544,5.7063,8.5407,0.6792,0,0.682,0,0.3726,0.398,0.2358,0.4303,1.4344,1.5169,2.7837,2.8166,0.8847,0.8745,1.0574,2.9997,3.5888,1.2453,1.182,1.1615,3.5454,3.4805,3.6269,3.5782,10.157,2.0336,2.0355,2.0278,2.0382,2.0219,6.3523,12.5582,4.2075,4.1174,4.2333,10.5288,2.0683,2.1494,2.117,2.0914,2.1028,1.3148,0.9351,1.1806,0.314,0.029,0.0714,0.051,1.1935,1.2342,1.3432,0.1449,0.0455,0.0361,0.0233,0.0253,2.7222,2.6809,0.9511,0.7861,0.9437,3.3346,4.5095,1.5137,1.4994,1.4964,-370.51,19.2
JEVPIJ,90.12,-0.93,201.75,3.06,6.91,10.36,31.2,23.1,15.9,709.97,-5.9526,-4.06,1.81,1.86,0.21,0.13,2.47,1.86,3.27,2.82,2.69,1.38,1.21,90.89,78.38,78.6,107.74,108.88,124.2,109.81,123.06,-0.1913,0.1393,-0.0498,0.4662,0.1605,0.0962,-0.4463,0.1042,3.0556,3.124,3.8016,2.1994,2.0153,4.0906,2.1315,28.9474,7.0616,5.7434,25.1075,8.3422,8.4746,5.7672,8.3597,0.7327,0,0.4665,0.6505,0.3658,0.782,0.7302,0,2.0059,1.0266,2.7891,2.7289,1.0357,0.9683,0.7249,2.9966,3.6048,1.1605,1.2545,1.1898,3.6362,3.7189,3.6291,3.4336,10.1029,2.0242,2.0247,2.0266,2.0101,2.0173,6.3483,12.6373,4.1398,4.2441,4.2534,10.2049,2.1105,2.0402,1.8543,2.0834,2.1165,1.4669,1.5546,1.3891,0.089,0.0179,0.0321,0.0087,1.5478,1.5405,1.3656,0.0788,0.0078,0.0146,0.0286,0.0084,2.7369,2.6704,0.9577,0.9748,0.7379,3.3862,4.4357,1.4996,1.5984,1.3377,-362.44,19.5
DUHTUW,70.99,23.78,183,4,5.84,5.15,43.2,32,13.5,577.46,-5.3472,-2.7763,2.16,2.17,0.51,0.25,2.52,3.17,3.35,1.95,2.36,1.3,1.27,64,86.59,88.92,77.27,62.85,166.85,111.12,127.57,-0.4914,0.1592,-0.2166,0.5254,0.0266,0.0225,-0.4374,0.0776,1.9773,3.04,3.7426,2.7605,2.7655,4.0786,1.976,28.8916,7.2125,5.6709,25.1114,7.0352,7.0502,5.7059,8.5204,0.6678,0,0.6459,0,0.374,0.2846,0.2685,0.4524,1.4162,1.52,2.7827,2.7989,0.8768,0.9992,0.9229,3.0053,3.5937,1.2035,1.2272,1.163,3.5704,3.6703,3.5908,3.4766,10.1468,2.0256,2.0296,2.0379,2.0312,2.0226,6.3609,12.5488,4.1787,4.1691,4.201,10.5814,2.0908,2.1132,2.163,2.1057,2.1087,1.2443,0.9759,1.212,0.3636,0.0402,0.0915,0.0675,1.0441,1.2929,1.0967,0.3625,0.0922,0.0727,0.0612,0.0849,2.7235,2.6764,0.9711,0.7989,0.9064,3.3317,4.5093,1.5101,1.5033,1.4959,-368.53,19.7
JOFHOB,112.1,-9.25,214.8,2.96,7.27,8.43,42.1,36.8,24.1,687,-5.1432,-1.4874,2.06,2.01,-0.27,0.27,2.6,2.11,3.03,3.17,2.4,1.36,1.23,82.25,74.55,91.01,96.22,110.48,120.47,109.26,125.69,-0.3861,0.1638,-0.2095,0.3083,0.1515,0.1516,-0.4477,0.0476,1.7823,2.904,3.6388,2.0133,2.0134,4.0746,2.0747,28.8678,7.2096,5.6131,25.3051,8.4658,8.4681,5.7242,8.4292,0.4597,0,0.6246,0.4102,0.3876,0.3519,0.3754,0,1.925,1.0942,2.7771,2.7995,0.9279,1.0047,0.8668,2.994,3.5911,1.1372,1.2101,1.2437,3.6283,3.5375,3.8511,3.5053,10.152,2.0253,2.0559,2.011,2.0309,2.029,6.2953,12.5177,4.1786,4.1595,4.1796,10.5729,2.0904,2.1152,2.1268,2.1192,2.1213,1.4324,1.4812,1.5263,0.0761,0.0169,0.0176,0.0101,1.4624,1.5646,1.4141,0.0783,0.0101,0.0248,0.0149,0.0144,2.7397,2.6737,0.9603,0.9584,0.755,3.3981,4.4819,1.4889,1.6163,1.3768,-445.7,19.9
NUKXAV,81.87,2.74,179.38,2.53,9.3,9.35,35.2,28,18.8,762.76,-5.3941,-2.2233,1.98,2.11,0.11,-0.22,2.53,2,3.01,3.05,2.51,1.37,1.22,88.96,73.19,88.74,96.56,113.11,124.81,108.96,124.86,-0.4426,0.1478,-0.1395,0.2789,0.1384,0.2005,-0.4477,0.0661,2.1097,2.994,3.6619,3.032,2.1386,4.136,2.1107,28.95,7.1699,5.6766,25.3352,7.0596,8.3589,5.7779,8.3971,0.5116,0,0.5174,0.5125,0.4079,0.5526,0.3105,0,1.9661,1.0855,2.7812,2.7723,0.933,1.011,0.8283,2.9999,3.6005,1.1649,1.2551,1.1805,3.6247,3.5218,3.7711,3.6578,10.1299,2.0215,2.0415,2.0197,2.0295,2.0177,6.3369,12.5884,4.1819,4.1945,4.2119,10.5171,2.0737,2.1512,2.1366,2.0678,2.0878,1.1941,0.9564,1.2939,0.3204,0.0368,0.0784,0.0413,1.3653,1.5413,1.4674,0.0742,0.0066,0.0119,0.0277,0.009,2.7417,2.6732,0.9774,0.9642,0.7316,3.3949,4.4664,1.4909,1.6271,1.3483,-443.99,21.2
WUKNUN,87.85,2.26,183.54,2.89,8.72,7.66,33.6,24.4,13.7,656.11,-5.45,-1.8937,2.23,1.95,-0.21,-0.02,2.55,2.04,3.04,3,2.48,1.36,1.22,87.74,74.53,89.85,96.9,109.93,126.12,108.9,124.8,-0.4235,0.1481,-0.1538,0.3039,0.1846,0.0708,-0.4537,0.057,2.0175,2.9393,3.6876,2.1088,3.2618,4.1088,2.0902,28.9557,7.2188,5.68,25.3021,8.358,6.9176,5.7608,8.4115,0.5368,0,0.5543,0.4738,0.3805,0.195,0.5455,0,1.9315,1.0885,2.7818,2.7783,0.925,0.9701,0.8833,3.0013,3.6016,1.1524,1.1856,1.2636,3.6235,3.5255,3.8573,3.5478,10.1266,2.0215,2.0465,2.0095,2.0281,2.0209,6.3425,12.5584,4.2079,4.1232,4.2273,10.5223,2.0992,2.0992,2.114,2.1234,2.0866,1.3722,1.5571,1.4566,0.0729,0.0194,0.018,0.0087,1.2172,1.0528,1.1816,0.3788,0.0685,0.0619,0.0965,0.07,2.7413,2.6759,0.951,0.928,0.7969,3.396,4.4748,1.4806,1.567,1.4272,-437.55,21.9
JIXMEL,88.62,1.33,184.76,2.9,8.57,7.13,33.9,24.5,14.4,679.79,-5.4573,-1.9084,2.22,1.95,-0.2,-0.01,2.54,2.04,3.04,2.99,2.49,1.36,1.22,88.09,74.32,89.84,96.55,109.78,126.65,108.92,124.71,-0.431,0.1482,-0.1512,0.3049,0.1837,0.0715,-0.4543,0.0581,2.0368,2.9362,3.6917,2.1112,3.259,4.1133,2.0895,28.9551,7.2156,5.6856,25.3012,8.3608,6.9126,5.7654,8.4104,0.5436,0,0.5518,0.4701,0.3789,0.2043,0.5402,0,1.93,1.0917,2.7818,2.777,0.9201,0.9535,0.9034,3.0015,3.6012,1.1612,1.1808,1.2592,3.622,3.4965,3.8532,3.5814,10.1265,2.0221,2.0461,2.01,2.0294,2.019,6.3407,12.5625,4.207,4.1297,4.2258,10.5275,2.0975,2.1135,2.1259,2.1091,2.0816,1.3771,1.5631,1.4477,0.0731,0.0202,0.0176,0.0088,1.2159,1.0557,1.1783,0.3779,0.0673,0.0619,0.098,0.0684,2.7412,2.6763,0.9626,0.9202,0.7935,3.3956,4.474,1.4876,1.5573,1.429,-437.49,22.1
GIRSOR,98.8,0.1,210.58,3.06,10.43,9.25,43.3,36.9,26.1,836.39,-5.2085,-1.6554,2.03,2.01,-0.12,0.01,2.61,2.08,2.96,3.15,2.45,1.36,1.22,84.08,71.39,90.71,93.88,113.64,123.49,108.66,125.51,-0.4581,0.1645,-0.1789,0.2641,0.1234,0.2079,-0.4452,0.0568,1.9995,2.9321,3.7094,3.1587,2.1142,4.1244,2.0964,28.9592,7.1576,5.71,25.3423,6.9752,8.3857,5.7686,8.4044,0.4582,0,0.5926,0.4477,0.4388,0.4638,0.3289,0,1.9615,1.0953,2.7779,2.7853,0.9664,0.8996,0.9193,2.9968,3.5885,1.1473,1.1938,1.2473,3.6286,3.5775,3.7386,3.6341,10.1416,2.0263,2.0452,2.0185,2.0265,2.0251,6.3287,12.5454,4.1486,4.1981,4.1987,10.5837,2.1139,2.1421,2.171,2.0622,2.0944,1.0958,1.2644,1.1589,0.3162,0.0625,0.0643,0.0685,1.3902,1.5706,1.4227,0.0801,0.0031,0.0204,0.0227,0.009,2.742,2.6744,0.9658,0.9401,0.7685,3.3984,4.4723,1.4957,1.5777,1.3988,-451.14,22.6
ZAPWUK01,97.74,-1.73,195.59,2.9,7.92,7.37,36.4,26.9,17,683.92,-5.4554,-1.92,2.17,1.94,-0.17,-0.03,2.57,2.02,3.08,3.01,2.5,1.36,1.22,87.25,74.77,89.05,99.16,110.7,125.15,108.74,124.89,-0.4144,0.1472,-0.1478,0.2616,0.1797,0.0837,-0.4521,0.0624,2.0626,2.9514,3.697,2.0387,3.2744,4.1218,2.1031,28.9531,7.2078,5.6714,25.332,8.4072,6.9059,5.7697,8.4021,0.4911,0,0.5491,0.4915,0.3759,0.195,0.6012,0,1.9514,1.08,2.7818,2.7766,0.9206,0.9625,0.8935,3.0014,3.601,1.1806,1.19,1.2303,3.6421,3.476,3.8405,3.6411,10.1243,2.0184,2.0447,2.0113,2.032,2.0178,6.3433,12.5728,4.192,4.1411,4.2397,10.4981,2.098,2.1208,2.12,2.0781,2.0812,1.3824,1.4867,1.5292,0.0738,0.0134,0.0222,0.0089,1.1724,1.0835,1.1876,0.3823,0.0622,0.088,0.0846,0.0757,2.7421,2.6744,0.981,0.9229,0.7705,3.3955,4.4698,1.4984,1.5667,1.4047,-437.54,22.7
ZAPHAZ,80.79,-1.6,194.45,4.07,8.72,8.72,32.8,31.1,25.3,769.54,-5.2244,-1.3522,1.91,2.27,-0.02,0.12,2.51,1.92,1.89,3.24,3.42,1.33,1.23,151.21,32.9,103.26,58.92,122.99,118.11,111.31,127.28,-0.3998,0.2199,-0.1421,-0.1212,-0.0515,0.1598,-0.4531,0.0215,3.0902,3.2323,3.1003,1.858,2.046,4.238,2.0657,29.1374,7.0633,5.1578,25.6612,8.5474,8.3975,5.8145,8.4611,0.6871,0.2557,-0.2014,0.748,0.2638,0.6094,0.2183,0,1.8943,1.1954,2.7452,2.8069,0.8294,1.0109,0.9666,2.9375,3.5624,1.1236,1.1571,1.2817,3.6762,3.6486,3.8617,3.8689,10.058,2.0145,2.0196,2.0028,2.0188,2.0023,6.3213,12.6465,4.2823,4.1413,4.2229,10.4314,2.1489,2.1431,2.0155,2.08,2.0438,1.6448,1.5537,1.4114,0.0698,0.0133,0.0237,0.0086,1.3914,1.5517,1.4673,0.0703,0.0042,0.0129,0.0247,0.0084,2.7314,2.6804,0.9602,0.9142,0.8059,3.402,4.5053,1.6403,1.4578,1.4071,-290.6,23
VAKNUR,94.22,0.27,197.53,1.7,10.81,6.53,36.7,29.5,23,776.81,-5.2406,-1.9016,2.06,2.03,0.4,-0.28,2.55,2.04,3.07,2.82,2.48,1.36,1.23,87.32,75.32,89.89,98.44,104.17,130.15,108.71,124.11,-0.3947,0.1543,-0.1636,0.2951,0.1932,0.175,-0.448,0.0709,1.8739,2.9395,3.6404,2.1201,2.1081,4.0442,2.0596,28.9067,7.1699,5.6332,25.3319,8.3459,8.3677,5.7417,8.4076,0.499,0,0.564,0.473,0.3647,0.3656,0.3123,0,1.8868,1.0868,2.7817,2.7838,1.0664,0.9068,0.8107,2.9996,3.5954,1.1604,1.2093,1.2258,3.6337,3.7568,3.7068,3.4507,10.1405,2.0258,2.0216,2.0261,2.0262,2.0407,6.3159,12.5192,4.1505,4.193,4.1758,10.5593,2.1677,2.0693,2.1203,2.0961,2.1058,1.401,1.5559,1.4321,0.0763,0.0215,0.0195,0.0098,1.4572,1.5457,1.4011,0.0757,0.0088,0.0239,0.0146,0.0133,2.7371,2.6733,0.8871,0.9358,0.8504,3.3891,4.4671,1.487,1.564,1.4162,-446.09,23.2
RIWBUW,81.36,16.52,189.1,1.32,9.24,9.29,32.3,25.3,18.6,710.79,-5.276,-2.3403,1.97,2.28,-0.02,-0.27,2.57,2.06,3.17,2.72,2.5,1.35,1.24,86.08,77.51,88.94,102.05,100.03,130.88,108.31,123.96,-0.3325,0.1584,-0.1541,0.2592,0.1848,0.1745,-0.4433,0.0649,1.662,2.9533,3.7722,2.1425,2.1022,3.9847,1.9002,28.8216,7.1847,5.6859,25.3263,8.3615,8.3375,5.7047,8.4877,0.4811,0,0.5925,0.4086,0.3413,0.4281,0.1429,0,1.6411,1.1791,2.7832,2.779,1.0374,0.9387,0.8029,2.9992,3.593,1.1579,1.2877,1.1474,3.6454,3.7739,3.5226,3.657,10.127,2.0226,2.0167,2.0479,2.0257,2.014,6.3396,12.4566,4.1348,4.1804,4.1414,10.5361,2.1382,2.0837,2.161,2.0905,2.0627,1.4028,1.6053,1.3944,0.0783,0.0262,0.0155,0.0111,1.4082,1.5893,1.3945,0.07,0.0085,0.0228,0.0138,0.0118,2.7355,2.6637,0.8281,1.0001,0.8355,3.3805,4.4823,1.4545,1.6033,1.4245,-443.55,23.5
